567,Rice,200,5.99,Food,Grains
568,Apples,150,0.75,Food,Fruits
569,Bread,100,2.49,Food,Bakery
570,Milk,75,3.25,Food,Dairy
571,Eggs,120,1.99,Food,Dairy
772,Table,30,89.99,Furniture,Living Room
773,Chair,50,49.99,Furniture,Living Room
774,Sofa,20,399.99,Furniture,Living Room
775,Plates Set,80,19.99,Home,Dining
776,Cutlery Set,60,29.99,Home,Dining
577,Cereal,90,4.49,Food,Grains
578,Orange Juice,40,2.99,Food,Beverages
579,Butter,60,1.99,Food,Dairy
880,Notebook,100,1.49,Stationery,Notebooks
881,Pens Pack,120,3.99,Stationery,Pens
882,Pencils Pack,150,2.49,Stationery,Pencils
783,Paint Brush Set,40,6.99,Art & Craft,Painting
784,Hammer,30,8.99,Tools,Hand Tools
785,Screwdriver Set,50,5.99,Tools,Hand Tools
786,Power Drill,15,49.99,Tools,Power Tools
787,Headphones,40,29.99,Electronics,Audio
788,Laptop,25,499.99,Electronics,Computers
789,Television,10,799.99,Electronics,TV & Video
790,Printer,20,119.99,Electronics,Computers
791,Desk,20,79.99,Furniture,Office
792,Calculator,40,12.99,Stationery,Calculators
793,Flashlight,50,4.99,Tools,Lighting
794,Camera,15,199.99,Electronics,Photography
795,Smartphone,30,299.99,Electronics,Phones
796,Microwave,20,149.99,Appliances,Kitchen Appliances
797,Toaster,25,39.99,Appliances,Kitchen Appliances
798,Blender,20,34.99,Appliances,Kitchen Appliances
799,Vacuum Cleaner,10,89.99,Appliances,Cleaning
800,Alarm Clock,30,9.99,Home,Decor
801,Toolbox Set,15,19.99,Tools,Tool Storage
802,Bicycle,20,149.99,Sports,Cycling
803,Backpack,40,24.99,Sports,Hiking
804,Water Bottle,80,4.99,Sports,Hydration
805,Towel Set,50,14.99,Home,Bathroom
806,Picture Frame,60,7.99,Home,Decor
807,Lamp,30,29.99,Home,Lighting
808,Chess Set,20,17.99,Toys & Games,Board Games
809,Basketball,25,9.99,Sports,Basketball
810,Soccer Ball,30,12.99,Sports,Soccer
811,Dumbbells Set,15,49.99,Sports,Fitness
812,Yoga Mat,20,19.99,Sports,Yoga
813,Fishing Rod,10,39.99,Sports,Fishing
814,Gardening Gloves,30,5.99,Garden & Outdoor,Gardening Tools
815,Plant Pot,50,9.99,Garden & Outdoor,Plant Containers
816,Seeds Pack,40,3.99,Garden & Outdoor,Seeds
817,Camping Tent,15,79.99,Sports,Camping
818,Sleeping Bag,20,29.99,Sports,Camping
819,Flash Drive,60,8.99,Electronics,Storage
820,External Hard Drive,25,49.99,Electronics,Storage
821,Wireless Mouse,40,12.99,Electronics,Computers
822,Keyboard,30,19.99,Electronics,Computers
823,Router,20,39.99,Electronics,Networking
824,USB Cable,50,4.99,Electronics,Accessories
825,HDMI Cable,30,6.99,Electronics,Accessories
826,Bike Helmet,20,24.99,Sports,Cycling
827,Skateboard,15,29.99,Sports,Skateboarding
828,PlayStation,10,299.99,Electronics,Gaming
829,Xbox,10,349.99,Electronics,Gaming1
